,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Active developers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW1,1780,10,9,12,23,27,14,13,20,42,29,73,57,17,14,19,23,47,10,29,11,16,11,14,23,33,16,27,50,35,8,63,12,13,86,16,9,12,17,190,34,26,181,29,18,36,24,24,212,24,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW2,832,7,4,3,9,7,7,6,11,22,7,43,26,9,2,11,12,15,2,9,4,6,5,7,7,17,9,10,15,12,7,20,3,9,41,9,8,12,12,100,13,3,86,12,10,16,10,18,117,14,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW3,852,5,6,8,8,10,6,8,6,15,13,39,24,6,9,5,10,20,2,20,5,12,4,6,8,14,3,13,23,25,0,32,7,5,59,2,5,2,7,116,20,10,90,9,8,10,8,20,87,9,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW4,475,4,2,6,4,12,5,4,5,9,2,31,15,5,3,6,6,15,3,5,1,2,6,5,2,6,4,9,9,5,0,13,3,6,32,10,2,4,3,61,3,12,39,4,3,11,7,7,55,4,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW5,357,1,2,1,6,7,3,1,5,5,10,26,14,2,3,1,2,6,6,2,4,2,1,2,9,6,7,8,9,6,1,11,3,3,43,0,1,2,3,5,8,8,40,8,5,4,6,5,34,7,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW6,693,5,3,7,9,15,7,4,8,14,12,42,23,6,5,7,6,18,8,5,4,3,6,6,10,8,9,12,17,9,1,22,5,8,49,10,2,4,5,64,9,18,63,12,7,15,11,10,76,8,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW7,606,27,4,6,2,12,7,4,7,11,12,32,29,6,3,4,4,1,0,10,1,7,3,2,17,13,15,3,17,14,6,29,5,4,53,0,7,7,2,12,10,11,66,12,8,6,15,15,46,9,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW8,1336,9,8,8,16,15,10,9,14,31,18,53,40,12,10,14,19,31,3,25,8,14,7,11,13,27,9,18,33,31,7,44,7,10,67,9,9,12,15,158,25,10,146,19,13,23,15,31,163,20,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW9,1068,29,6,10,10,21,12,7,13,23,23,52,39,10,7,9,8,18,8,13,4,9,6,8,26,17,20,12,31,20,8,46,8,9,63,10,7,9,5,72,16,28,102,21,13,18,23,17,97,12,13
New developers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW1,1295,2,3,8,17,26,8,11,15,35,28,48,45,11,13,14,20,46,9,24,10,14,9,13,17,29,10,22,42,23,6,54,9,8,37,13,4,8,12,112,28,23,122,24,11,34,18,35,134,15,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW2,441,1,1,1,6,6,4,4,8,16,6,24,15,4,1,7,9,14,1,4,3,5,3,6,3,13,4,6,10,4,6,13,2,5,7,7,3,8,9,34,7,0,42,8,4,14,5,12,59,5,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW3,478,1,1,5,4,9,1,5,3,9,11,9,15,3,8,3,7,18,1,18,4,8,2,4,5,11,0,8,20,16,0,25,4,0,16,0,1,0,1,57,15,7,53,6,3,7,5,16,36,6,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW4,210,0,1,2,3,8,2,2,2,7,2,7,8,3,2,4,4,11,2,2,0,0,4,3,2,3,3,5,6,1,0,7,2,2,2,6,0,0,1,19,0,10,11,4,1,9,5,4,25,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW5,161,0,0,0,4,2,1,0,2,3,9,7,7,1,2,0,0,3,5,0,3,1,0,0,7,2,3,3,6,2,0,9,1,1,12,0,0,0,1,2,6,6,14,6,3,4,3,3,13,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW6,375,0,1,2,7,11,3,2,4,10,11,14,15,4,4,4,4,14,7,2,3,1,4,3,9,5,6,8,12,3,0,16,3,3,14,6,0,0,2,21,6,16,27,10,4,13,8,7,39,4,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
