,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
TW1,3670,29,32,39,36,57,71,30,76,111,59,48,122,29,27,38,48,84,9,61,16,55,17,64,37,66,66,108,81,138,29,146,29,42,64,81,40,51,22,140,177,68,104,78,144,64,70,158,150,195,164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW2,1231,21,13,16,15,16,25,9,30,43,19,21,21,18,5,19,22,21,1,16,6,22,8,28,13,26,19,39,21,52,13,43,5,14,3,19,21,31,11,64,65,2,57,30,30,20,23,59,120,9,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW3,1264,4,11,13,9,15,30,16,18,42,24,18,27,6,11,9,17,35,1,35,8,24,3,20,11,14,12,43,30,82,6,54,15,7,14,14,9,4,5,26,59,23,33,30,79,20,25,73,21,92,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW4,629,3,4,7,7,13,13,4,9,18,4,7,50,3,5,5,7,22,2,6,1,4,6,11,3,12,13,21,11,4,0,29,2,8,12,15,7,8,5,32,26,19,10,4,27,17,15,19,6,48,45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW5,546,1,4,3,5,13,3,1,19,8,12,2,24,2,6,5,2,6,5,4,1,5,0,5,10,14,22,5,19,0,10,20,7,13,35,33,3,8,1,18,27,24,4,14,8,7,7,7,3,46,45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW6,1175,4,8,10,12,26,16,5,28,26,16,9,74,5,11,10,9,28,7,10,2,9,6,16,13,26,35,26,30,4,10,49,9,21,47,48,10,16,6,50,53,43,14,18,35,24,22,26,9,94,90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW7,1655,11,10,15,7,31,28,9,46,38,34,13,40,8,7,16,7,27,1,67,2,23,6,17,42,47,100,47,29,0,13,67,12,12,11,16,5,16,1,68,110,37,39,25,57,33,29,24,47,210,95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW8,2361,25,23,25,24,29,54,22,48,80,43,39,48,23,15,25,38,49,2,43,14,44,11,44,22,40,30,80,49,124,17,93,15,19,17,31,30,34,16,87,114,25,87,54,106,39,45,120,141,93,65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW9,2830,15,18,25,19,57,44,14,74,64,50,22,114,13,18,26,16,55,8,77,4,32,12,33,55,73,135,73,59,4,23,116,21,33,58,64,15,32,7,118,163,80,53,43,92,57,51,50,56,304,185
