,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
TW1,3412,27,36,33,31,70,70,29,73,77,58,50,101,28,19,24,49,74,8,53,12,57,16,58,38,64,54,91,79,138,18,87,31,32,68,46,32,43,22,164,175,65,97,75,140,51,68,159,163,193,166
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW2,1124,21,20,11,14,23,23,10,30,29,5,21,22,18,7,16,22,19,1,2,6,22,8,20,12,23,20,24,23,50,15,18,5,12,7,14,20,29,11,61,60,1,51,34,29,19,24,58,123,9,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW3,1201,4,9,16,8,29,29,13,18,28,13,21,23,6,9,5,17,31,1,28,5,27,1,14,13,17,8,41,29,84,1,46,17,6,16,3,8,1,5,29,61,16,33,21,79,18,24,74,25,91,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW4,580,2,7,5,3,15,15,5,9,13,2,5,37,3,2,3,5,17,2,20,0,0,7,17,3,10,12,12,11,4,0,16,2,11,8,22,3,7,4,51,25,17,7,5,26,9,14,18,3,46,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW5,507,0,0,1,6,3,3,1,16,7,38,3,19,1,1,0,5,7,4,3,1,8,0,7,10,14,14,14,16,0,2,7,7,3,37,7,1,6,2,23,29,31,6,15,6,5,6,9,12,47,44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW6,1087,2,7,6,9,18,18,6,25,20,40,8,56,4,3,3,10,24,6,23,1,8,7,24,13,24,26,26,27,4,2,23,9,14,45,29,4,13,6,74,54,48,13,20,32,14,20,27,15,93,84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW7,1576,7,8,18,4,28,28,15,44,25,34,10,44,8,10,12,7,4,0,46,1,25,7,8,42,42,94,16,30,2,18,92,11,6,11,2,9,11,1,76,107,31,28,26,56,87,40,13,43,206,83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW8,2176,21,29,23,22,50,50,22,48,57,18,42,43,22,16,20,38,42,2,28,11,48,9,32,23,36,28,61,50,124,16,51,17,15,23,16,28,30,16,79,105,17,82,53,101,36,46,121,145,93,71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW9,2663,9,15,24,13,46,46,21,69,45,74,18,100,12,13,15,17,28,6,69,2,33,14,32,55,66,120,42,57,6,20,115,20,20,56,31,13,24,7,150,161,79,41,46,88,101,60,40,58,299,167
