,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
TW1,2379,15,6,21,28,30,63,24,63,42,23,27,86,22,10,16,43,44,8,18,10,34,13,24,21,42,47,33,64,130,8,49,26,20,40,25,24,39,19,88,133,52,68,55,100,24,46,130,92,187,147
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW2,770,13,4,9,12,9,23,8,27,17,3,13,16,16,1,11,21,14,1,1,5,14,6,10,5,18,17,11,14,46,8,13,3,7,0,5,16,27,9,41,41,0,40,26,17,5,15,44,77,9,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW3,850,0,1,8,8,7,25,11,13,15,9,10,16,4,8,3,15,19,1,10,4,17,1,10,7,6,8,16,27,80,0,18,14,4,10,3,5,1,5,14,43,16,21,17,59,10,20,66,12,90,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW4,403,2,1,4,3,7,13,4,8,8,1,3,35,2,1,2,5,10,2,4,0,0,6,1,1,9,9,4,10,4,0,14,2,6,6,10,2,5,4,20,24,15,3,2,20,7,6,14,1,44,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW5,356,0,0,0,5,7,2,1,15,2,10,1,19,0,0,0,2,1,4,3,1,3,0,3,8,9,13,2,13,0,0,4,7,3,24,7,1,6,1,13,25,21,4,10,4,2,5,6,2,44,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW6,759,2,1,4,8,14,15,5,23,10,11,4,54,2,1,2,7,11,6,7,1,3,6,4,9,18,22,6,23,4,0,18,9,9,30,17,3,11,5,33,49,36,7,12,24,9,11,20,3,88,82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW7,1136,3,5,5,1,21,28,8,33,13,27,9,30,5,0,8,7,1,0,23,1,22,5,5,38,25,90,9,26,0,7,30,10,5,4,1,1,8,1,54,100,25,18,21,42,27,26,9,33,195,71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW8,1530,13,5,14,20,14,47,18,40,32,12,23,32,19,9,13,35,28,2,9,9,30,7,18,10,24,25,26,39,116,8,29,12,9,10,7,21,28,14,53,74,16,59,42,73,15,34,100,89,92,56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW9,1895,5,6,9,9,35,43,13,56,23,38,13,84,7,1,10,14,12,6,30,2,25,11,9,47,43,112,15,49,4,7,48,19,14,34,18,4,19,6,87,149,61,25,33,66,36,37,29,36,283,153
