,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Created TW1,7347,50,108,18,117,134,102,68,211,428,157,83,295,64,73,105,87,393,4,192,4,125,9,26,68,141,69,386,220,106,33,379,139,42,119,62,103,27,23,501,81,86,364,141,195,152,188,190,550,45,84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created TW2,2874,39,67,3,39,35,45,31,60,214,18,40,32,47,33,64,28,115,0,52,1,52,7,4,16,52,15,124,77,82,28,65,28,13,19,17,47,11,13,283,23,1,158,53,57,42,76,71,450,21,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created TW3,2398,7,30,13,31,36,48,30,57,140,42,18,82,4,25,24,40,182,1,93,1,54,1,6,22,39,12,133,72,22,1,196,80,16,41,14,40,1,5,91,44,20,151,22,102,62,43,72,80,6,46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created TW4,1139,4,8,1,35,33,4,7,12,33,18,18,123,8,6,10,15,82,0,37,0,10,1,13,3,23,26,113,16,2,1,53,1,10,13,25,6,11,3,91,6,22,38,34,22,33,38,36,8,8,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created TW5,936,0,3,1,12,30,5,0,82,41,79,7,58,5,9,7,4,14,3,10,2,9,0,3,27,27,16,16,55,0,3,65,30,3,46,6,10,4,2,36,8,43,17,32,14,15,31,11,12,10,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created TW6,2075,4,11,2,47,63,9,7,94,74,97,25,181,13,15,17,19,96,3,47,2,19,1,16,30,50,42,129,71,2,4,118,31,13,59,31,16,15,5,127,14,65,55,66,36,48,69,47,20,18,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created TW7,2615,29,14,4,10,92,33,17,233,88,127,36,105,20,36,32,27,33,0,149,0,33,1,11,51,124,27,59,39,2,26,234,54,15,14,13,11,12,1,81,92,25,81,62,106,81,87,20,76,50,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created TW8,4966,43,97,16,70,66,92,54,117,345,59,58,112,50,57,85,65,245,1,128,2,100,8,9,36,83,24,226,140,104,28,230,93,27,60,30,87,12,18,358,58,21,281,72,153,95,114,138,525,27,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created TW9,4690,33,25,6,57,155,42,24,327,162,224,61,286,33,51,49,46,129,3,196,2,52,2,27,81,174,69,188,110,4,30,352,85,28,73,44,27,27,6,208,106,90,136,128,142,129,156,67,96,68,74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated TW1,7350,50,108,18,117,136,102,68,211,428,157,83,295,64,73,105,87,393,4,192,4,125,9,26,68,141,69,387,221,106,33,379,139,42,119,62,103,27,23,500,81,86,364,141,196,152,187,190,550,45,84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated TW2,2866,39,67,3,39,32,45,31,60,214,18,40,32,47,33,64,28,115,0,48,1,52,7,4,16,52,15,124,77,82,28,65,27,13,19,17,46,11,13,283,23,1,158,53,58,42,76,71,450,21,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated TW3,2404,7,30,13,31,38,48,30,57,140,42,18,82,4,25,24,40,182,1,94,1,54,1,6,22,39,12,133,73,22,1,196,81,16,41,14,41,1,5,91,44,20,151,22,102,62,43,72,80,6,46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated TW4,1143,4,8,1,35,34,4,7,12,33,18,18,123,8,6,10,15,82,0,40,0,10,1,13,3,23,26,114,16,2,1,53,1,10,13,25,6,11,3,91,6,22,38,34,22,33,37,36,8,8,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated TW5,937,0,3,1,12,32,5,0,82,41,79,7,58,5,9,7,4,14,3,10,2,9,0,3,27,27,16,16,55,0,3,65,30,3,46,6,10,4,2,35,8,43,17,32,14,15,31,11,12,10,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated TW6,2080,4,11,2,47,66,9,7,94,74,97,25,181,13,15,17,19,96,3,50,2,19,1,16,30,50,42,130,71,2,4,118,31,13,59,31,16,15,5,126,14,65,55,66,36,48,68,47,20,18,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated TW7,2618,29,14,4,10,92,33,17,233,88,127,36,105,20,36,32,27,33,0,150,0,33,1,11,51,124,27,59,39,2,26,234,54,15,14,13,11,12,1,82,92,25,81,62,106,81,88,20,76,50,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated TW8,4966,43,97,16,70,65,92,54,117,345,59,58,112,50,57,85,65,245,1,126,2,100,8,9,36,83,24,227,141,104,28,230,93,27,60,30,87,12,18,358,58,21,281,72,154,95,114,138,525,27,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated TW9,4698,33,25,6,57,158,42,24,327,162,224,61,286,33,51,49,46,129,3,200,2,52,2,27,81,174,69,189,110,4,30,352,85,28,73,44,27,27,6,208,106,90,136,128,142,129,156,67,96,68,74
